id,user_id,card_id,tcg,image_url,created_at,purchase_price
256b9923-e09e-48ac-99bf-ae838580b63d,ba3e96eb-1198-4820-a607-c87b8139e72d,/Riftbound/Products/Singles/Spiritforged/Defiant-Dance,Riftbound,,2026-07-21 13:06:20.878342+00,37
2595b60c-6876-48d3-a49f-a578597c0b20,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/The-Best-Non-English/Don-PRB-Luffy-V3,OnePiece,,2026-07-21 14:26:44.736685+00,
25ce4b1b-cf55-4761-abd3-9a9059aee56f,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Premium-Bandai-Products-Asia-Region-Legal/MonkeyDLuffy-OP05-119-V1,OnePiece,,2026-07-21 12:13:27.020104+00,
29897603-be76-4aae-b0b0-81024d726035,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Unnumbered-Promos/Gum-Gum-Lightning-OP09-077-V1,OnePiece,,2026-07-21 13:03:34.680536+00,3
29ef882f-b174-4cec-82fb-f1360248b40b,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/MonkeyDLuffy-OP10-111-V1,OnePiece,,2026-07-21 12:12:59.048849+00,35
2c90c037-5a14-468f-81c6-0027b26ad443,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/Carrying-on-his-Will-Non-English/DON-OP13-Roger-V2,OnePiece,,2026-07-21 22:05:14.363817+00,
2cc6aaea-fae1-43f2-8831-eec65aa5172d,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/A-Fist-of-Divine-Speed-Non-English/MonkeyDLuffy-OP11-118-V1,OnePiece,,2026-07-21 13:47:42.280062+00,
30062ee7-79c7-4577-bbf1-343bcf1a840b,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/Bonds-of-Master-and-Disciple-Non-English/Silvers-Rayleigh-OP12-001-V2,OnePiece,,2026-07-21 22:11:47.505268+00,
31b21a10-011a-488d-99ba-55c127b25aab,595944d6-9be2-4fd8-97b4-a7ea66558e62,/OnePiece/Products/Singles/Premium-Bandai-Products/Nico-Robin-ST01-008,OnePiece,,2026-07-21 21:49:02.493198+00,
32107a2a-669c-4e06-b9ab-14a4eda48315,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/One-Piece-Products/DON-One-Piece-Day-2024,OnePiece,,2026-07-21 13:00:05.322934+00,
322f17f8-f426-45eb-8b60-3e4ad7d98e5e,ba3e96eb-1198-4820-a607-c87b8139e72d,/OnePiece/Products/Singles/Promos-Japanese/MonkeyDLuffy-P-080-V2,OnePiece,,2026-07-21 12:13:03.786778+00,28
