id,user_id,tcg,card_id,created_at
42a1b246-e5e4-4dd4-93f8-6c263547e9ba,a7bfa0fe-3799-42a2-9edf-5e6b8668ed5d,Pokemon,/Pokemon/Products/Singles/30th-Anniversary-Celebration-Simplified-Chinese/Tepig-30th-P014,2026-07-17 17:51:00.790085+00
43149a72-cd31-4e38-acf4-796c098121ba,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos/MonkeyDLuffy-ST13-003-V3,2026-07-15 13:00:34.004194+00
433680a9-fd04-4ddb-b6be-e75aecc9460f,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Promos-Japanese/MonkeyDLuffy-P-001-V4,2026-07-20 12:47:58.764035+00
450c0769-c996-43b0-8c35-91263aafabb2,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/MonkeyDLuffy-OP10-111-V1,2026-07-16 09:01:26.76806+00
45711a8a-9990-46b3-bbc8-70a3728ca99d,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Starter-Deck-Straw-Hat-Crew-Non-English/MonkeyDLuffy-ST01-001-V3,2026-07-20 12:50:17.540818+00
4a183fa0-d02c-4f8a-8c15-9c3e3e319439,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Promos-Japanese/MonkeyDLuffy-P-075-V2,2026-07-20 15:13:27.058398+00
4b7c9b3b-125b-46f2-b0c5-44a8117350a2,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Anime-25th-Collection-Japanese/MonkeyDLuffy-EB02-061-V2,2026-07-20 12:48:04.46224+00
4c12f15f-4411-4757-bb72-399dc91ed95c,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Pillars-of-Strength-Japanese/MonkeyDLuffy-ST01-012,2026-07-16 08:52:53.190177+00
4c6de255-06ce-4d7f-a558-84077d5f30f2,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos/MonkeyDLuffy-EB02-010-V1,2026-07-15 12:34:20.156133+00
4cdbf31c-7f4f-483f-8d86-6fc45cbaa717,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Promos-Japanese/MonkeyDLuffy-P-075,2026-07-16 09:03:39.474591+00
4e5f4061-cdb3-4327-a00e-d4d407d3653d,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/MonkeyDLuffy-ST01-001,2026-07-15 12:54:55.328598+00
4f36321e-e259-46c4-aab7-3e5d0ff5da22,595944d6-9be2-4fd8-97b4-a7ea66558e62,OnePiece,/OnePiece/Products/Singles/Premium-Bandai-Products/Brook-OP01-022,2026-07-21 22:07:52.294195+00
51f1ed3f-dde8-4b3f-9ab7-823c0ecf5df1,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos-Japanese/MonkeyDLuffy-ST13-015-V1,2026-07-15 17:39:59.367408+00
53655f12-3943-49c4-a917-bf38aaef5c4a,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Promos-Japanese/MonkeyDLuffy-ST01-012-V2,2026-07-20 12:48:42.725216+00
5694530c-02f0-4740-bbd1-60f41ca8c07f,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Romance-Dawn-Japanese/MonkeyDLuffy-OP01-003-V2,2026-07-15 16:30:55.58722+00
58b6aa40-7526-4637-8793-a4d4a15aca7c,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Unnumbered-Promos/MonkeyDLuffy-OP10-111-V1,2026-07-21 13:03:07.215728+00
596c4e13-5aaa-437c-86e3-d0b7aa6b6830,ba3e96eb-1198-4820-a607-c87b8139e72d,Pokemon,/Pokemon/Products/Singles/Gem-Pack-Vol-1/Captain-Pikachu-V9-CBB1C07,2026-07-20 12:47:04.191041+00
5d243edc-e7df-4e00-95c0-526ab037ccf8,ba3e96eb-1198-4820-a607-c87b8139e72d,OnePiece,/OnePiece/Products/Singles/Awakening-of-the-New-Era-Japanese/MonkeyDLuffy-OP05-060-V2,2026-07-20 14:24:36.981549+00
